-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.034,  0.148
-183.800, 80.198, 0.033,  0.181
-183.800, 80.196, 0.038,  0.214
-183.800, 80.193, 0.112,  0.247
-183.799, 80.186, 0.202,  0.280
-183.798, 80.175, 0.345,  0.313
-183.796, 80.154, 0.645,  0.346
-183.794, 80.125, 0.885,  0.379
-183.791, 80.089, 1.093,  0.412
-183.788, 80.046, 1.278,  0.445
-183.785, 79.999, 1.428,  0.478
-183.781, 79.948, 1.512,  0.511
-183.777, 79.897, 1.550,  0.544
-183.773, 79.846, 1.565,  0.577
-183.770, 79.794, 1.564,  0.610
-183.766, 79.743, 1.551,  0.643
-183.762, 79.693, 1.528,  0.676
-183.758, 79.644, 1.498,  0.709
-183.754, 79.596, 1.464,  0.742
-183.750, 79.550, 1.404,  0.775
-183.747, 79.506, 1.344,  0.808
-183.743, 79.463, 1.295,  0.841
-183.739, 79.422, 1.258,  0.874
-183.736, 79.381, 1.238,  0.907
-183.732, 79.340, 1.235,  0.940
-183.729, 79.299, 1.252,  0.973
-183.725, 79.257, 1.286,  1.006
-183.721, 79.212, 1.334,  1.039
-183.717, 79.166, 1.387,  1.072
-183.713, 79.119, 1.440,  1.105
-183.708, 79.069, 1.484,  1.138
-183.704, 79.019, 1.516,  1.171
-183.699, 78.968, 1.535,  1.204
-183.694, 78.917, 1.542,  1.237
-183.690, 78.866, 1.539,  1.270
-183.685, 78.815, 1.529,  1.303
-183.680, 78.765, 1.514,  1.336
-183.676, 78.715, 1.498,  1.369
-183.671, 78.666, 1.482,  1.402
-183.666, 78.618, 1.470,  1.435
-183.662, 78.569, 1.462,  1.468
-183.657, 78.521, 1.460,  1.501
-183.652, 78.472, 1.463,  1.534
-183.648, 78.424, 1.472,  1.567
-183.643, 78.375, 1.485,  1.600
-183.638, 78.325, 1.501,  1.633
-183.633, 78.274, 1.519,  1.666
-183.628, 78.223, 1.537,  1.699
-183.623, 78.172, 1.553,  1.732
